year,disastertype_drought,disastertype_earthquake,disastertype_extreme temperature ,disastertype_flood,disastertype_landslide,disastertype_mass movement (dry),disastertype_storm,disastertype_volcanic activity,LandAverageTemperature,LandAverageTemperatureUncertainty,LandMaxTemperature,LandMaxTemperatureUncertainty,LandMinTemperature,LandMinTemperatureUncertainty,LandAndOceanAverageTemperature,LandAndOceanAverageTemperatureUncertainty
1960,0,7,0,2,1,0,3,1,8.58375,0.09349999999999999,14.317416666666666,0.14941666666666667,2.9325833333333335,0.13758333333333334,15.291916666666667,0.06933333333333334
1961,0,1,0,2,1,0,5,0,8.797666666666666,0.09699999999999999,14.514916666666666,0.16574999999999998,3.1287499999999997,0.18175,15.379916666666666,0.06716666666666667
1962,0,2,0,1,0,1,3,0,8.745916666666666,0.13291666666666666,14.54016666666667,0.15891666666666668,3.0085833333333336,0.20441666666666666,15.325583333333334,0.0725
1963,0,2,0,2,1,1,6,2,8.856,0.09233333333333332,14.612250000000001,0.15275,3.1575833333333336,0.18241666666666667,15.376666666666667,0.06833333333333334
1964,3,6,0,10,0,0,9,1,8.409666666666666,0.09250000000000001,14.156833333333333,0.15633333333333332,2.7688333333333333,0.157,15.117083333333333,0.06516666666666666
1965,2,5,0,7,5,0,9,0,8.527416666666666,0.10883333333333334,14.268416666666667,0.1845,2.841416666666667,0.19516666666666668,15.195750000000002,0.06724999999999999
1966,3,6,1,12,3,0,15,1,8.599333333333332,0.09225,14.325916666666666,0.12725,2.8994166666666668,0.13408333333333333,15.264666666666665,0.06366666666666666
1967,2,7,0,13,2,0,7,0,8.700083333333334,0.08366666666666667,14.406500000000001,0.12591666666666665,3.0370833333333334,0.15175,15.294166666666667,0.05925
1968,0,12,0,11,3,0,14,1,8.516333333333334,0.11166666666666668,14.164250000000001,0.13058333333333333,2.85725,0.1515,15.263916666666667,0.06016666666666667
1969,5,7,0,10,1,0,10,1,8.595083333333333,0.08516666666666667,14.212083333333332,0.1515,2.9629166666666666,0.19574999999999998,15.390500000000001,0.05516666666666667
1970,0,7,0,15,4,0,9,0,8.700916666666666,0.07558333333333332,14.40325,0.13183333333333333,3.04275,0.12166666666666666,15.332666666666666,0.05325
1971,0,4,0,9,4,1,10,2,8.59925,0.09791666666666667,14.35275,0.14966666666666667,2.9622499999999996,0.15808333333333333,15.200000000000001,0.05616666666666667
1972,1,4,2,7,3,0,11,0,8.499583333333334,0.09533333333333333,14.164916666666668,0.14141666666666666,2.8448333333333338,0.16208333333333333,15.292916666666668,0.05583333333333334
1973,2,3,2,11,2,0,11,1,8.94825,0.10074999999999999,14.566,0.13125,3.3701666666666665,0.12,15.40475,0.05491666666666667
1974,1,4,0,12,5,0,8,0,8.4675,0.1045,14.081916666666666,0.12266666666666666,2.900916666666667,0.11858333333333333,15.168083333333334,0.056249999999999994
1975,0,3,1,10,2,0,12,1,8.744833333333334,0.09708333333333334,14.383666666666668,0.13325,3.121083333333333,0.12775,15.238666666666667,0.05533333333333334
1976,1,11,0,11,5,0,8,1,8.34725,0.10058333333333332,14.008000000000001,0.15075,2.734166666666667,0.1430833333333333,15.131083333333335,0.05741666666666667
1977,3,9,0,21,2,0,16,4,8.85025,0.08466666666666667,14.4855,0.125,3.294583333333333,0.14291666666666666,15.40825,0.053
1978,5,6,0,17,1,0,13,1,8.69275,0.10383333333333332,14.28125,0.1558333333333333,3.170916666666667,0.19175,15.300916666666666,0.0555
1979,5,11,2,13,6,0,9,2,8.733416666666667,0.08641666666666666,14.457749999999999,0.15558333333333332,3.2000833333333336,0.1678333333333333,15.414166666666667,0.047499999999999994
1980,3,16,2,15,4,1,13,2,8.980333333333332,0.10666666666666667,14.672916666666666,0.15258333333333332,3.404666666666667,0.15008333333333332,15.491833333333332,0.05366666666666667
1981,5,8,0,17,3,0,20,1,9.165833333333333,0.08725,14.855166666666667,0.13891666666666666,3.6359166666666662,0.14741666666666667,15.516166666666669,0.052333333333333336
1982,5,14,1,22,8,1,18,1,8.639166666666666,0.08266666666666667,14.300916666666666,0.171,3.2399166666666663,0.2070833333333333,15.341916666666668,0.05475
1983,11,17,1,21,7,3,17,3,9.028166666666666,0.09399999999999999,14.679833333333335,0.11466666666666665,3.5524166666666663,0.12425000000000001,15.520249999999999,0.05583333333333334
1984,3,8,0,19,3,0,14,3,8.691833333333333,0.10258333333333332,14.342666666666666,0.13408333333333333,3.18675,0.13033333333333333,15.344166666666666,0.05716666666666667
1985,2,15,1,27,2,2,20,3,8.658,0.09325,14.267166666666668,0.11966666666666666,3.1756666666666664,0.10541666666666666,15.340666666666666,0.05391666666666667
1986,1,16,1,27,3,0,18,2,8.833583333333333,0.085,14.516833333333333,0.1205,3.3193333333333332,0.12825,15.384,0.05325
1987,8,11,3,30,8,1,23,1,8.994416666666666,0.08516666666666667,14.699833333333336,0.11075,3.431416666666667,0.14458333333333334,15.524500000000002,0.05333333333333334
1988,8,11,2,43,9,3,21,3,9.201583333333334,0.08008333333333333,14.89,0.13366666666666668,3.654,0.11149999999999999,15.555750000000002,0.05325
1989,5,10,1,26,7,0,17,1,8.921999999999999,0.08800000000000001,14.6215,0.11183333333333333,3.3343333333333334,0.12916666666666668,15.441583333333334,0.05591666666666667
1990,4,22,2,27,4,1,17,2,9.234166666666667,0.08633333333333333,14.957666666666668,0.12983333333333333,3.65875,0.11975000000000001,15.629333333333333,0.05725
1991,5,19,2,35,7,2,20,7,9.179416666666667,0.06208333333333333,14.839583333333335,0.10125,3.6221666666666668,0.10566666666666667,15.597999999999999,0.05508333333333334
1992,3,18,2,32,8,2,22,4,8.836583333333333,0.08333333333333333,14.471333333333334,0.09899999999999999,3.2635,0.1025,15.453000000000001,0.058166666666666665
1993,3,12,2,44,15,3,34,4,8.866583333333333,0.08133333333333333,14.519750000000002,0.0785,3.2845833333333334,0.10633333333333332,15.466416666666667,0.059166666666666666
1994,3,14,5,47,7,0,26,3,9.03875,0.07091666666666667,14.72925,0.10925,3.3960833333333333,0.12675,15.534999999999998,0.05858333333333333
1995,4,15,10,48,12,0,26,2,9.347083333333334,0.07641666666666666,15.026416666666668,0.13258333333333333,3.7035,0.158,15.637833333333333,0.06041666666666667
1996,5,8,3,54,16,0,25,2,9.038916666666667,0.08474999999999999,14.737250000000001,0.11791666666666667,3.3811666666666667,0.11241666666666666,15.524666666666667,0.0595
1997,13,14,4,51,10,0,25,3,9.202583333333333,0.08858333333333333,14.868,0.12066666666666666,3.5901666666666663,0.1115,15.713833333333334,0.059166666666666666
